1198 0 
574892 1 
587652 2 
598857 3 
602790 4 
608842 5 
618233 6 
659961 7 
702648 8 
702679 9 
735418 10 
800528 11 
802650 12 
802853 13 
837964 14 
946345 15 
947432 16 
996693 17 
1022058 18 
1037204 19 
1044509 20 
1044745 21 
1070038 22 
1070368 23 
1071133 24 
1097776 25 
1138214 26 
1169942 27 
1182665 28 
1203561 29 
1322555 30 
1421563 31 
1422089 32 
1440201 33 
1481876 34 
1487296 35 
1658101 36 
1671716 37 
1673992 38 
1759299 39 
1819755 40 
1936392 41 
2007737 42 
2083621 43 
2106058 44 
2106241 45 
2158071 46 
2163208 47 
2394626 48 
2429874 49 
2538166 50 
2560117 51 
2619507 52 
2619818 53 
2716270 54 
2916004 55 
2917453 56 
3134067 57 
3269533 58 
3446461 59 
3564821 60 
3992353 61 
4106558 62 
4375974 63 
4470304 64 
5134403 65 
5364997 66 
5396180 67 
5560611 68 
5560856 69 
6030288 70 
6467431 71 
6481354 72 
6655100 73 
6655315 74 
6655683 75 
7324948 76 
7737848 77 
7921357 78 
7940224 79 
8136912 80 
9092222 81 
9471347 82 
11263449 83 
11940924 84 
12362500 85 
12518407 86 
14979839 87 
16220185 88 
17353781 89 
21184840 90 
22230620 91 
22841857 92 
25097319 93 
27636260 94 
30396159 95 
58867057 96 
90088557 97 
115949481 98 
144412543 99 
301501137 100 
