0 	 346
10 	 94507
20 	 189761
30 	 299909
40 	 397212
50 	 493206
60 	 589542
70 	 704367
80 	 825086
90 	 929089
100 	 1018197
110 	 1130886
120 	 1248766
130 	 1366559
140 	 1471345
150 	 1585658
160 	 1708542
170 	 1823638
180 	 1909790
190 	 2002628
200 	 2105921
210 	 2199084
220 	 2317696
230 	 2426053
240 	 2536377
250 	 2655182
260 	 2772175
270 	 2879242
280 	 2976021
290 	 3111910
300 	 3224287
310 	 3344669
320 	 3450113
330 	 3570663
340 	 3683228
350 	 3793730
360 	 3902834
370 	 4006811
380 	 4115888
390 	 4231311
400 	 4355567
410 	 4476267
420 	 4598739
430 	 4695836
440 	 4803252
450 	 4908863
460 	 5016259
470 	 5118620
480 	 5227662
490 	 5340231
500 	 0
