1 	 2223668
11 	 2337496
21 	 2496812
31 	 2728690
41 	 2841636
51 	 2976611
61 	 3169578
71 	 3306921
81 	 3453239
91 	 3637704
101 	 3785470
111 	 3772264
121 	 4042318
131 	 4217933
141 	 4324365
151 	 4425884
161 	 4528136
171 	 4774127
181 	 4774127
191 	 5036712
201 	 5230705
211 	 5230705
221 	 5230705
231 	 5526324
241 	 5526324
251 	 5829044
261 	 5829041
271 	 5829044
281 	 5829044
291 	 6421814
301 	 6421814
311 	 6421814
321 	 6421814
331 	 6421814
341 	 7200642
351 	 7200642
361 	 7200642
371 	 7200642
381 	 7200642
391 	 7200642
401 	 8118974
411 	 8118974
421 	 8118871
431 	 8118974
441 	 8118974
451 	 8118974
461 	 8118974
471 	 8118974
481 	 8116861
491 	 8118974
