1 	 8983364
11 	 21330800
21 	 23778905
31 	 28889689
41 	 26112610
51 	 25878705
61 	 27123271
71 	 27027153
81 	 26367531
91 	 26260058
101 	 26657184
111 	 25112347
121 	 26275618
131 	 27382252
141 	 26849182
151 	 26835210
161 	 26124826
171 	 26330138
181 	 26332869
191 	 27096595
201 	 26783920
211 	 26771294
221 	 26781050
231 	 25895791
241 	 25894781
251 	 25845417
261 	 25849768
271 	 25850747
281 	 25851114
291 	 26331435
301 	 26334333
311 	 26331450
321 	 26333640
331 	 26334116
341 	 26789167
351 	 26793951
361 	 26785261
371 	 26787906
381 	 26794547
391 	 26790026
401 	 27013477
411 	 27008058
421 	 27008596
431 	 27011227
441 	 27007406
451 	 27012437
461 	 27013246
471 	 27009275
481 	 26995159
491 	 27009084
