0 	 702
10 	 12743
20 	 24837
30 	 37073
40 	 49160
50 	 61199
60 	 72970
70 	 85330
80 	 97712
90 	 109838
100 	 121859
110 	 134026
120 	 146309
130 	 158603
140 	 170470
150 	 182656
160 	 194973
170 	 207130
180 	 219024
190 	 230980
200 	 243103
210 	 255059
220 	 267304
230 	 279444
240 	 291512
250 	 303805
260 	 315952
270 	 327864
280 	 339771
290 	 352374
300 	 364594
310 	 376793
320 	 389004
330 	 401321
340 	 413550
350 	 425687
360 	 437586
370 	 449808
380 	 461809
390 	 474023
400 	 486366
410 	 498673
420 	 511042
430 	 523105
440 	 535109
450 	 547335
460 	 559438
470 	 571622
480 	 583897
490 	 596175
500 	 608642
