1 	 0
2 	 13355574
3 	 6289976
4 	 5003919
5 	 3851762
6 	 2498610
7 	 939166
8 	 469597
9 	 1292701
10 	 305553
11 	 732978
12 	 398138
13 	 224590
14 	 320248
15 	 180893
16 	 1069733
17 	 893048
18 	 493311
19 	 147728
20 	 128436
21 	 381306
22 	 115732
23 	 97881
24 	 91384
25 	 1185805
26 	 634541
27 	 516195
28 	 274922
29 	 271804
30 	 268640
31 	 75070
32 	 75533
33 	 231292
34 	 228805
35 	 119538
36 	 67327
37 	 105619
38 	 104484
39 	 58725
40 	 108460
41 	 61006
42 	 530148
43 	 188586
44 	 55473
45 	 49883
46 	 331498
47 	 249329
48 	 168484
49 	 85252
50 	 47793
51 	 80542
52 	 45181
53 	 43673
54 	 43729
55 	 992261
56 	 695464
57 	 346334
58 	 215814
59 	 143617
60 	 73089
61 	 40939
62 	 68273
63 	 38237
64 	 69269
65 	 38806
66 	 125084
67 	 61828
68 	 34609
69 	 34605
70 	 334405
71 	 58416
72 	 57821
73 	 32379
74 	 270745
75 	 165340
76 	 32739
77 	 104803
78 	 28800
79 	 29411
80 	 101318
81 	 29448
82 	 47315
83 	 26517
84 	 278203
85 	 229081
86 	 137817
87 	 44003
88 	 24617
89 	 91195
90 	 25533
91 	 24962
92 	 88044
93 	 87392
94 	 40750
95 	 22864
96 	 44942
97 	 44417
98 	 24897
99 	 45147
100 	 44561
101 	 24850
