1 	 0
2 	 7749988
3 	 8676620
4 	 6894039
5 	 5306393
6 	 3430018
7 	 954188
8 	 477368
9 	 1773767
10 	 310634
11 	 1006824
12 	 546679
13 	 228193
14 	 439404
15 	 183826
16 	 1468045
17 	 1226494
18 	 678540
19 	 150155
20 	 130608
21 	 523619
22 	 117674
23 	 99454
24 	 92834
25 	 1626098
26 	 870739
27 	 708961
28 	 376809
29 	 372837
30 	 368732
31 	 76593
32 	 76743
33 	 316836
34 	 313631
35 	 163412
36 	 68314
37 	 144909
38 	 143124
39 	 59846
40 	 148574
41 	 61990
42 	 728358
43 	 257959
44 	 56431
45 	 50673
46 	 455135
47 	 341757
48 	 230443
49 	 116450
50 	 48535
51 	 110331
52 	 45904
53 	 44335
54 	 44400
55 	 1364357
56 	 955784
57 	 476039
58 	 295756
59 	 196318
60 	 99947
61 	 41595
62 	 93379
63 	 38901
64 	 94837
65 	 39403
66 	 171106
67 	 84468
68 	 35133
69 	 35114
70 	 459973
71 	 79985
72 	 79273
73 	 32931
74 	 372319
75 	 226640
76 	 33186
77 	 143788
78 	 29312
79 	 29930
80 	 138758
81 	 29814
82 	 64890
83 	 26971
84 	 382207
85 	 314053
86 	 188385
87 	 60354
88 	 25052
89 	 124927
90 	 25914
91 	 25393
92 	 120628
93 	 119422
94 	 55769
95 	 23146
96 	 61551
97 	 60744
98 	 25264
99 	 61791
100 	 61187
101 	 25345
