1 	 0
2 	 4612
3 	 1396
4 	 725
5 	 420
6 	 932668
7 	 222899
8 	 111380
9 	 197239
10 	 71071
11 	 236
12 	 147100
13 	 53180
14 	 116995
15 	 42250
16 	 59829
17 	 359
18 	 180981
19 	 35008
20 	 29838
21 	 140935
22 	 27844
23 	 22791
24 	 21508
25 	 786
26 	 419
27 	 358
28 	 196
29 	 196
30 	 95081
31 	 16161
32 	 17936
33 	 196
34 	 236
35 	 42908
36 	 15490
37 	 137
38 	 35658
39 	 12955
40 	 41959
41 	 15155
42 	 481
43 	 69500
44 	 12885
45 	 12110
46 	 29314
47 	 29303
48 	 236
49 	 30105
50 	 10920
51 	 29294
52 	 10598
53 	 10567
54 	 10515
55 	 1152
56 	 786
57 	 420
58 	 297
59 	 236
60 	 25507
61 	 9312
62 	 24168
63 	 8826
64 	 25056
65 	 9134
66 	 23369
67 	 22456
68 	 8176
69 	 8465
70 	 480
71 	 137
72 	 20528
73 	 7508
74 	 419
75 	 20665
76 	 7504
77 	 37434
78 	 6538
79 	 7034
80 	 20114
81 	 7290
82 	 16302
83 	 5955
84 	 481
85 	 419
86 	 297
87 	 15025
88 	 5541
89 	 32908
90 	 6188
91 	 5654
92 	 196
93 	 236
94 	 13916
95 	 5108
96 	 136
97 	 16828
98 	 6158
99 	 136
100 	 17500
