1 	 0
2 	 1692178
3 	 1883403
4 	 1480704
5 	 1128852
6 	 725949
7 	 199560
8 	 99267
9 	 373548
10 	 63527
11 	 211539
12 	 114060
13 	 47530
14 	 90287
15 	 37534
16 	 312739
17 	 259222
18 	 140727
19 	 31181
20 	 26660
21 	 109508
22 	 24757
23 	 20189
24 	 19087
25 	 349530
26 	 183736
27 	 146568
28 	 77566
29 	 75754
30 	 73916
31 	 14447
32 	 15884
33 	 64957
34 	 63617
35 	 33554
36 	 13808
37 	 28373
38 	 27570
39 	 11405
40 	 32308
41 	 13330
42 	 154932
43 	 54216
44 	 11350
45 	 10714
46 	 96297
47 	 71829
48 	 47529
49 	 23248
50 	 9602
51 	 22897
52 	 9384
53 	 9348
54 	 9243
55 	 292876
56 	 201689
57 	 100096
58 	 61144
59 	 39930
60 	 19932
61 	 8225
62 	 18785
63 	 7779
64 	 19538
65 	 8027
66 	 36223
67 	 17530
68 	 7254
69 	 7401
70 	 95639
71 	 16164
72 	 15837
73 	 6497
74 	 77123
75 	 46220
76 	 6607
77 	 29070
78 	 5750
79 	 6208
80 	 28615
81 	 6333
82 	 12552
83 	 5248
84 	 82028
85 	 65932
86 	 38340
87 	 11626
88 	 4837
89 	 25520
90 	 5407
91 	 4976
92 	 25650
93 	 25115
94 	 10750
95 	 4462
96 	 13473
97 	 13068
98 	 5445
99 	 13836
100 	 13591
