0 1 
136 2 
136 3 
137 4 
137 5 
196 6 
196 7 
196 8 
196 9 
236 10 
236 11 
236 12 
236 13 
236 14 
297 15 
297 16 
358 17 
359 18 
419 19 
419 20 
419 21 
420 22 
420 23 
480 24 
481 25 
481 26 
725 27 
786 28 
786 29 
1152 30 
1396 31 
4612 32 
5108 33 
5541 34 
5654 35 
5955 36 
6158 37 
6188 38 
6538 39 
7034 40 
7290 41 
7504 42 
7508 43 
8176 44 
8465 45 
8826 46 
9134 47 
9312 48 
10515 49 
10567 50 
10598 51 
10920 52 
12110 53 
12885 54 
12955 55 
13916 56 
15025 57 
15155 58 
15490 59 
16161 60 
16302 61 
16828 62 
17500 63 
17936 64 
20114 65 
20528 66 
20665 67 
21508 68 
22456 69 
22791 70 
23369 71 
24168 72 
25056 73 
25507 74 
27844 75 
29294 76 
29303 77 
29314 78 
29838 79 
30105 80 
32908 81 
35008 82 
35658 83 
37434 84 
41959 85 
42250 86 
42908 87 
53180 88 
59829 89 
69500 90 
71071 91 
95081 92 
111380 93 
116995 94 
140935 95 
147100 96 
180981 97 
197239 98 
222899 99 
932668 100 
